board,PBN
2,E:QJT9.JT953.AJ5.T K2.Q82.QT84.Q864 8654.K764.976.J9 A73.A.K32.AK7532
6,E:64.8.K8432.AT764 JT952.54.AJ7.KQ2 AK7.AQJ976.QT5.J Q83.KT32.96.9853
10,E:J4.AJ7642.63.J42 A972.3.AQJ8.K865 KT65.KQ8.T7.QT97 Q83.T95.K9542.A3
14,E:KJ6.AKJT32.A.986 Q72.86.QJ95.Q732 T843.Q974.82.AT5 A95.5.KT7643.KJ4
18,E:Q652.A973.KQ.986 JT.KT8.AT93.KJ74 A983.Q54.874.Q52 K74.J62.J652.AT3
22,E:QT2.98752.J8.J95 6543.Q.AK97.KT76 AJ8.AJ6.5432.AQ4 K97.KT43.QT6.832
26,E:AK63.AQ95.A.KQT8 85.JT6.Q753.A954 Q9742.K874.62.72 JT.32.KJT984.J63
30,E:Q976.Q2.AQ98.984 T2.K9765.K53.T32 843.AJ3.JT62.QJ7 AKJ5.T84.74.AK65
1,N:3.J52.AKT963.A87 J986.A43.QJ8.T54 QT52.8.52.KJ9632 AK74.KQT976.74.Q
5,N:KT62.KQ65.KJ6.T6 AQ4.J7.52.AQJ983 853.AT32.QT873.K J97.984.A94.7542
9,N:JT63.6.AT64.AT95 A7.KJ9832.87.K72 K542.QT4.QJ53.83 Q98.A75.K92.QJ64
13,N:Q3.KJ.AKT4.J9865 AKJ842.A985..AK3 96.Q7642.QJ632.7 T75.T3.9875.QT42
17,N:AK973.AJ6.A853.8 86.98732.J7.Q753 T.QT4.KT942.AKT2 QJ542.K5.Q6.J964
21,N:A852.643.AK6.A82 T964.K752.J97.97 KQJ73.AJ8.532.Q6 .QT9.QT84.KJT543
25,N:KQ.J832.AJ6.QJ87 987632.KQ.74.KT5 T.T765.Q953.A432 AJ54.A94.KT82.96
29,N:T7.T.T743.QT8652 94.Q9873.QJ.AJ43 A62.AKJ65.K965.7 KQJ853.42.A82.K9
3,S:T8.QT854.873.QT3 A976.AJ92.Q4.A76 J43.63.A962.8542 KQ52.K7.KJT5.KJ9
7,S:QJ984.64.873.542 T75.J9.T96.KQT76 AK32.AK732.QJ4.9 6.QT85.AK52.AJ83
11,S:AT943.52.J863.Q4 Q765.QT76.AQ4.85 82.A3.T9.AKJ7632 KJ.KJ984.K752.T9
15,S:A2.AQ9732.K.K852 K98753.8.75.AJ73 QT6.K654.A932.QT J4.JT.QJT864.964
19,S:T4.Q75.AKT6.T862 AQ9865.A8.J5.AJ3 KJ73.KJT4.874.K7 2.9632.Q932.Q954
23,S:T432.A87.AJ5.K94 KQ9.J2.KT762.QJ8 876.Q954.943.T65 AJ5.KT63.Q8.A732
27,S:AJ964.KT52.AT92. K5.AJ8.QJ86.K964 Q8732.Q3.K53.732 T.9764.74.AQJT85
4,W:954.52.AQ8.K9853 AK6.AT9864.JT.JT QJT873.Q73.54.A7 2.KJ.K97632.Q642
8,W:632.A42.832.9743 J.96.QT97654.A86 KQT9854.QT3.A.J5 A7.KJ875.KJ.KQT2
12,W:AJT42.6.J3.Q8764 Q863.752.Q87.AJ5 K.KQJT9.T942.T32 975.A843.AK65.K9
16,W:J853.KT62.752.AQ T7.A854.T.T98762 A9642.J9.K963.43 KQ.Q73.AQJ84.KJ5
20,W:6.J2.JT854.A9643 KQ5.AK976.KQ6.72 T97.QT3.A93.QJT8 AJ8432.854.72.K5
24,W:QJT64.97.QJ932.2 K9.JT86.A754.AK9 A32.AK53.T8.T753 875.Q42.K6.QJ864
28,W:T976.K762.A762.3 83.AT43.KQ93.JT2 J54.QJ.85.KQ9764 AKQ2.985.JT4.A85